key,message,link,reason,action
CAUAJM_E_00046,The UNIX function getaddrinfo failed to resolve hostname [{0}] after retrying. System message: {1}.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00046.html,The name server returned an error while resolving the hostname to a network IP address,"Review the system message for an indication of what caused the problem and take required action. If you cannot determine the cause of the problem, contact technical support."
CAUAJM_E_00047,Unable to create Filter: can not find java classes.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00047.html,Unable to create Filter: cannot find java classes.,
CAUAJM_E_00048,Unable to create Filter: Invalid class.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00048.html,Unable to create Filter: Invalid class.,
CAUAJM_E_00049,Could not setdetachstate UNDETACHED for [{0}][{1}].,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00049.html,Could not setdetachstate.,
CAUAJM_E_00050,Could not setdetachstate DETACHED for [{0}][{1}].,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00050.html,Could not setdetachstate.,
CAUAJM_E_00051,Unable to create thread! [{0}][{1}],http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00051.html,Unable to create thread.,
CAUAJM_E_00053,[{0}] not joined: {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00053.html,Join error.,
CAUAJM_E_00054,The string provided for field <{0}> is too long: {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00054.html,The string is too long.,Choose a shorter string.
CAUAJM_E_00056,Unable to add Filter: cannot locate JFilter object.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00056.html,Unable to add Filter: cannot locate JFilter Object.,
CAUAJM_E_00061,Machine <{0}> is not defined in the database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00061.html,Machine is unavailable.,Define the machine to the database.
CAUAJM_E_00062,Unsupported machine type for authentication. ,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00062.html,The machine type defined is unsuitable for authentication.,Specify a different machine.
CAUAJM_E_00063,Database error during authentication. ,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00063.html,A database error occurred retrieving a machine definition used for authentication.,Check the application server log for errors.
CAUAJM_E_00064,Return code {0} received processing request.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00064.html,An unexpected error occurred identified by the return code.,Contact CA Support for further assistance.
CAUAJM_E_00065,Validation Internal Error: User failed authentication,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00065.html,The product instance has not been configured with internal user.,Define the specified user according to the security implemented.
CAUAJM_E_00066,Validation Failure: Artifact \,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00066.html,The artifact provided is invalid.,Acquire a new artifact and retry.
CAUAJM_E_00067,Validation Internal Error: Artifact \,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00067.html,The product instance has not been configured to run under CA EEM security.,Reconfigure the product or change the authentication method.
CAUAJM_E_00092,{0} {1} failed. Error: {2}\n,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00076.html,WSAStartup failed.,
CAUAJM_E_00094,Unable to obtain routine address for <{0}> in library <{1}>.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00094.html,"The system cannot locate the address for the specified function in the library, typically when the specified library is unavailable.",Verify that the required library is available on the system.
CAUAJM_E_00095,Unable to load the email notification library <{0}>.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00095.html,Unable to load required library.,Make sure the required library is available on the system.
CAUAJM_E_00096,Unable to determine current user credentials.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00096.html,Unknown.,Unknown.
CAUAJM_E_00102,Notification request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00102.html,Unable to load required library. The notification request has been aborted.,Make sure the Notification component is installed and the required library is available on the system.
CAUAJM_E_00103,Unable to obtain routine address for {0} in library {1}; Notification request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00103.html,Unable to locate function address in library. Notification request aborted.,Make sure the Notification component is installed and the required library is available on the system.
CAUAJM_E_00104,Failed to open the Notification interface rc = {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00104.html,Unable to open the Notification interface.,Make sure the Notification component is installed and is active.
CAUAJM_E_00105,Notification provider was not supplied. Request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00105.html,The notification provider was not supplied.,Review the attributes of the job for which the notification was being sent.
CAUAJM_E_00106,Failed to set {0} rc = {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00106.html,Unable to set parameter.,Review the return code from Unicenter Notification and take action as required.
CAUAJM_E_00107,Failed to issue Notification Services request rc = {0}   JOB: {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00107.html,Unable to issue notification request.,Review the return code from Unicenter Notification Services and take action as required.
CAUAJM_E_00108,Service Desk login failure rc = {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00108.html,Service Desk login failure.,Make sure Service Desk Web Service is properly installed and accessible through the network.
CAUAJM_E_00109,{0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00109.html,Service Desk SOAP FAULT message.,Review message and take action as required.
CAUAJM_E_00110,{0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00110.html,Service Desk SOAP FAULT DETAIL message.,Review message and take action as required.
CAUAJM_E_00111,{0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00111.html,Service Desk SOAP FAULT LOCATION message.,Review message and take action as required.
CAUAJM_E_00112,Failure obtaining Service Desk user handle for user {0} rc = {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00112.html,Failure obtaining Service Desk user handle for user.,Make sure the user has been defined to the Service Desk Web Service.
CAUAJM_E_00113,Failure obtaining Service Desk customer handle for customer {0} rc = {1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00113.html,Failure obtaining ServiceDesk customer handle for customer.,Make sure the customer has been defined to the ServiceDesk Web Service.
CAUAJM_E_00114,Service Desk request failure rc = {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00114.html,Failure creating ServiceDesk request.,Review the return code and take action as needed.
CAUAJM_E_00115,Unable to obtain Service Desk login user and password from config file/registry.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00115.html,Unable to obtain Service Desk login user and password from config file/registry.,Ensure the user/encrypted password combination is set for configuration variable ServiceDeskUser. Try re-generating and setting encrypted password.
CAUAJM_E_00116,Service Desk user is not available. Request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00116.html,Service Desk user is not available. Request aborted.,"Ensure the user/encrypted password combination is set for configuration variable ServiceDeskUser. Try re-generating, setting encrypted password and restart the Scheduler."
CAUAJM_E_00118,Service Desk request failed    JOB: {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00118.html,Unable to create a Service Desk request.,Refer to prior messages for cause and take action as required.
CAUAJM_E_00121,Notification Services request failure    JOB: {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00121.html,Unable to send Notification Services request.,Refer to prior messages for cause and take action as required.
CAUAJM_E_00123,Error parsing svcdesk_attr keyword/keyword value pair. Request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00123.html,Error parsing svcdesk_attr keyword/keyword value pair.,Review the JIL svcdesk_attr attribute to ensure the input string has been coded in keyword/keyword value pairs. If multiple attributes are specified they must be comma separated.
CAUAJM_E_00124,Duplicate Service Desk keyword detected ''{0}''. Requested aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00124.html,A duplicate keyword has been detected within the Service Desk JIL input.,Review the JIL job definition for the specified duplicate keyword and remove accordingly.
CAUAJM_E_00125,Notify request was rejected.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00125.html,Unicenter Notification rejected the request.,Using the Unicenter Notification Status UI check the request for indications of the problem. Take action as required.
CAUAJM_E_00126,UNS Diagnostic: {0},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00126.html,Unicenter Notification diagnostic message for the failing request.,Take action as required by the message(s).
CAUAJM_E_00132,Database indicates failover status. Shutting down.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00132.html,Database indicates failover status. Shutting down.,Determine problem that caused failover and restart system.
CAUAJM_E_00133,The shadow and tie-breaker are both missing. The primary must shutdown.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00133.html,The shadow and tie-breaker are both missing. The primary must shutdown.,Determine why shadow and tie-breaker are missing and restart system.
CAUAJM_E_00148,The primary and tie-breaker are both missing. The shadow must shutdown.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00148.html,The primary and tie-breaker are both missing. The shadow must shutdown.,Determine why shadow and tie-breaker are missing and restart system.
CAUAJM_E_00159,Unexpected error in NTthread.cpp.  Function:  {0}; File:  {1}; Line:  {2},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00159.html,Unknown.,Unknown.
CAUAJM_E_00160,WaitForSingleObject failed.  Return code [{0}].,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00160.html,Unknown.,Unknown.
CAUAJM_E_00161,GetLastError():  [{0}],http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00161.html,Unknown.,Unknown.
CAUAJM_E_00165,The {0} primary scheduler is already running on machine: {1}. Startup aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00165.html,The primary scheduler is already running on the specified machine. Startup aborted.,Shutdown the active primary scheduler before starting a new scheduler on this machine.
CAUAJM_E_00166,The {0} shadow scheduler is already running on machine: {1}. Startup aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00166.html,The shadow scheduler is already running on the specified machine. Startup aborted.,Shutdown the active shadow scheduler before starting a new scheduler on this machine.
CAUAJM_E_00170,The {0} tie-breaker scheduler is already running on machine: {1}. Startup aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00170.html,The tie-breaker scheduler is already running on the specified machine. Startup aborted.,Shutdown the active tie-breaker scheduler before starting a new scheduler on this machine.
CAUAJM_E_00171,"Database error encountered while trying to determine if scheduler is already running, startup aborted.",http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00171.html,"Database error encountered while trying to determine if scheduler is already running, startup aborted.",Check the status of the database.
CAUAJM_E_00172,Database error encountered while initializing the high availability system. Startup aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00172.html,Database error encountered while initializing the high availability system. Startup aborted.,Check the status of the database.
CAUAJM_E_00179,Unable to load the CA Secure Sockets Adapter shared library dynamically. Process terminating.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00179.html,"The CA Secure Sockets Adapter shared library could not be loaded. The library could have been moved, renamed, or deleted.","Check if the CA Secure Sockets Adapter files have been moved, renamed, or deleted."
CAUAJM_E_00191,Shutdown notification for the primary scheduler was not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00191.html,Shutdown notification for the primary scheduler was not written into any database.,Investigate the state of both databases.
CAUAJM_E_00192,Shutdown notification for the shadow scheduler was not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00192.html,Shutdown notification for the shadow scheduler was not written into any database.,Investigate the state of both databases.
CAUAJM_E_00193,Shutdown notification for the tie-breaker scheduler was not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00193.html,Shutdown notification for the tie-breaker scheduler was not written into any database.,Investigate the state of both databases.
CAUAJM_E_00194,Shutdown notifications for all application servers were not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00194.html,Shutdown notifications for all application servers were not written into any database.,Investigate the state of both databases.
CAUAJM_E_00196,Failover notification was not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00196.html,Failover notification was not written into any database.,Investigate the state of both databases.
CAUAJM_E_00198,Unable to allocate internal Service Desk work objects. Request aborted.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00198.html,The scheduler failed to allocate Service Desk work objects required to prepare the request. This is more than likely due to system resource constraints.,Ensure the system running the scheduler process has ample memory otherwise contact CA Technical Support for further assistance.
CAUAJM_E_00200,"Encryption/Decryption Failed. Module: {0}, Error: {1}, Possible Cause: {2}\n",http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00200.html,Encryption/Decryption Failed,
CAUAJM_E_00205,Restart notification for the shadow scheduler was not written into any database.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00205.html,Restart notification for the shadow scheduler was not written into any database.,Investigate the state of both databases.
CAUAJM_E_00224,The {0} library experienced an internal error and may not have initialized properly.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00224.html,The CAPKI library experienced an internal error during initialization.,"If you cannot determine the cause of the problem, contact technical support."
CAUAJM_E_00225,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00225.html,,
CAUAJM_E_00226,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00226.html,,
CAUAJM_E_00227,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00227.html,,
CAUAJM_E_00228,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00228.html,,
CAUAJM_E_00233,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00233-.html,,
CAUAJM_E_00234,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00234.html,,
CAUAJM_E_00235,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00235.html,,
CAUAJM_E_00236,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00236.html,,
CAUAJM_E_00237,,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00237.html,,
CAUAJM_E_00337,Service Desk request failed due to error.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-00337.html,Unable to create a Service Desk request.,Refer to prior messages for cause and take action as required.
CAUAJM_E_10000,Invalid value ''{0}'' specified for keyword {1}.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10000.html,Invalid value specified for job keyword.,Re-submit the request with a proper value for the keyword.
CAUAJM_E_10001,Unable to execute a request originating from a source that is not authenticated.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10001.html,"The unauthenticated user mode is set to STRICT or EXTERNAL, and the request executed by the CA Workload Automation AE SDK program is missing required user authentication information.","Troubleshoot the CA Workload Automation AE SDK program code to ensure that it authenticates the user and sets the user in the request and then recompile and execute the program, or contact your security administrator for assistance."
CAUAJM_E_10002,Unable to retrieve connection information for instance <{0}>.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10002.html,"The specified instance does not exist in the external configuration information, or it is not of AppServer type.",
CAUAJM_E_10003,User <{0}> on machine <{1}> is not authenticated.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10003.html,The request contains information for a user that is not authenticated.,"Troubleshoot the CA Workload Automation AE SDK program code to ensure that it authenticates the user and sets the user in the request and then recompile and execute the program, or contact your security administrator for assistance."
CAUAJM_E_10004,Error retrieving current user and machine.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10004.html,Error retrieving current user and machine.,
CAUAJM_E_10005,Attempt to create a local API connection when one has already been created.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10005.html,API connection has already been created.,
CAUAJM_E_10006,Unable to load libtx_local.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10006.html,Unable to load libtx_local.,
CAUAJM_E_10007,Unable to get address for createTx.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10007.html,Unable to get address for createTx.,
CAUAJM_E_10008,Unable to get address for deleteTx.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10008.html,Unable to get address for deleteTx.,
CAUAJM_E_10009,Unable to load libtx_remote.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10009.html,Unable to load libtx_remote.,
CAUAJM_E_10010,Fatal error.  Process terminating. [{0}][{1},http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10010.html,Fatal Error.,
CAUAJM_E_10011,The specified job field ''{0}'' can not be saved as type {1}.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10011.html,The set method was called with a job field that is not of the correct type.,Call the set method with the correct datatype for the specified job field.
CAUAJM_E_10012,Unable to get address for createTxRemote.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10012.html,Unable to get address for createTxRemote.,
CAUAJM_E_10013,Failed to load {0} shared library.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10013.html,Failed to load DRM shared library.,
CAUAJM_E_10014,Error establishing a database connection.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10014.html,Error establishing database connection.,
CAUAJM_E_10016,This request [{0}] came from a previous instance and cannot be processed.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10016.html,Request cannot be processed.,
CAUAJM_E_10018,CONDITION ERROR: Unbalanced parentheses in logical expression.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10018.html,Unbalanced parentheses in logical expression.,
CAUAJM_E_10019,CONDITION ERROR: Invalid external instance {0}: exceeds {1} characters.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10019.html,Error with external instance.,
CAUAJM_E_10020,CONDITION ERROR: Invalid external instance {0}: illegal use of characters.,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10020.html,Invalid characters specified.,
CAUAJM_E_10024,CONDITION ERROR: Invalid job name <{0}> exceeds {1} characters,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10024.html,Error with jobname in condition.,
CAUAJM_E_10025,CONDITION ERROR: Invalid {0}: {1} <{2}>,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10025.html,Error with jobname in condition.,
CAUAJM_E_10026,CONDITION ERROR: Invalid lookback expression {0}: exceeds {1} characters,http://techdocs.broadcom.com/us/en/ca-enterprise-software/intelligent-automation/autosys-workload-automation/12-0-01/messages/error-messages/cauajm-e-10026.html,Error with lookback in condition.,
